S	Sl	Su
963	902.3309124	1023.139524
964	903.7050281	1024.331358
965	905.2848591	1025.538865
966	906.4341287	1026.766697
967	906.4341287	1028.02239
968	906.4341287	1029.319745
969	906.4341287	1030.690085
970	906.9939211	1032.255142
971	908.1474922	1033.463875
972	909.3086813	1033.463875
973	910.478765	1033.463875
974	911.6594212	1033.837539
975	912.8529318	1034.983883
976	914.0625384	1036.136783
977	915.2931268	1037.297218
978	916.5527013	1038.466442
979	917.8561824	1039.646094
980	919.2386376	1040.838402
981	920.8556122	1042.046514
982	921.8634706	1043.275155
983	921.8634706	1044.532003
984	921.8634706	1045.831197
985	921.8634706	1047.205168
986	922.4860174	1048.784796
987	923.6391895	1049.934263
988	924.7999197	1049.934263
989	925.9694672	1049.934263
990	927.1494839	1050.324084
991	928.3422117	1051.469832
992	929.5508274	1052.622054
993	930.7801008	1053.781708
994	932.0378042	1054.950016
995	933.3382993	1056.128576
996	934.7147595	1057.319547
997	936.3045533	1058.525969
998	937.4144766	1059.752372
999	937.4144766	1061.006057
1000	937.4144766	1062.300266
1001	937.4144766	1063.664529
1002	937.9587431	1065.20706
1003	939.1106196	1066.511914
1004	940.2698554	1066.511914
1005	941.4376516	1066.511914
